AccX,AccY,AccZ,AngX,AngY,AngZ
-0.26,-0.44,0.82,-30.14,16.23,-1.00
-0.26,-0.44,0.82,-30.15,16.22,-0.99
-0.25,-0.44,0.82,-30.18,16.21,-0.99
-0.25,-0.45,0.83,-30.20,16.21,-0.99
-0.25,-0.44,0.82,-30.22,16.19,-0.98
-0.25,-0.45,0.82,-30.24,16.19,-0.98
-0.25,-0.45,0.82,-30.26,16.18,-0.98
-0.25,-0.44,0.83,-30.27,16.17,-0.97
-0.25,-0.47,0.81,-30.32,16.15,-0.99
-0.25,-0.44,0.82,-30.31,16.17,-0.99
-0.25,-0.44,0.83,-30.31,16.19,-0.97
-0.25,-0.45,0.83,-30.34,16.21,-0.96
-0.26,-0.45,0.83,-30.35,16.18,-0.95
-0.25,-0.45,0.83,-30.35,16.16,-0.95
-0.25,-0.45,0.82,-30.37,16.17,-0.94
-0.25,-0.45,0.83,-30.39,16.15,-0.93
-0.25,-0.45,0.82,-30.41,16.13,-0.93
-0.25,-0.45,0.82,-30.43,16.12,-0.93
-0.25,-0.44,0.82,-30.43,16.12,-0.92
-0.25,-0.45,0.82,-30.45,16.12,-0.91
-0.26,-0.44,0.82,-30.46,16.12,-0.91
-0.26,-0.45,0.82,-30.47,16.12,-0.91
-0.25,-0.44,0.83,-30.48,16.13,-0.90
-0.25,-0.44,0.83,-30.48,16.12,-0.89
-0.26,-0.45,0.82,-30.49,16.13,-0.88
-0.26,-0.44,0.83,-30.50,16.12,-0.87
-0.25,-0.45,0.83,-30.49,16.11,-0.87
-0.26,-0.45,0.83,-30.51,16.09,-0.86
-0.25,-0.45,0.82,-30.53,16.07,-0.85
-0.25,-0.45,0.83,-30.54,16.05,-0.85
-0.25,-0.45,0.82,-30.57,16.04,-0.82
-0.25,-0.45,0.82,-30.56,16.09,-0.87
-0.25,-0.44,0.82,-30.60,16.09,-0.88
-0.25,-0.45,0.82,-30.62,16.06,-0.84
-0.25,-0.45,0.82,-30.66,16.05,-0.84
-0.25,-0.44,0.82,-30.70,15.99,-0.85
-0.26,-0.45,0.81,-30.69,16.04,-0.87
-0.26,-0.45,0.82,-30.69,16.05,-0.87
-0.25,-0.45,0.84,-30.71,16.00,-0.86
-0.26,-0.45,0.83,-30.70,16.00,-0.85
-0.25,-0.46,0.83,-30.73,15.97,-0.85
-0.25,-0.45,0.82,-30.79,15.93,-0.86
-0.25,-0.46,0.83,-30.81,15.89,-0.86
-0.25,-0.44,0.84,-30.81,15.86,-0.84
-0.25,-0.44,0.83,-30.83,15.90,-0.81
-0.25,-0.45,0.83,-30.78,15.92,-0.82
